Lat,Long,YY,LoAge,UpAge,Ex,Pf
14.7006,-17.454,2008,2,10,54,1
14.7277,-17.4906,2008,2,10,41,1
14.746,-17.4744,2008,2,10,52,1
14.6851,-17.4497,1933,2,10,50,24
14.705,-17.455,1966,0,15,481,95
14.7099,-17.4498,2014,1.1,4.9,12,1
14.6945,-17.4518,1996,0,99,981,37
14.766,-17.433,1949,0,7,75,3
14.6887,-17.4379,1994,0.1,88,87,7
14.7428,-17.5131,1967,2,9,1438,364
14.7438,-17.5228,1967,2,9,569,219
14.6926,-17.4309,1994,0.1,88,106,3
14.6856,-17.442,1994,0.1,88,75,0
14.7293,-17.4905,2008,2,10,46,1
14.7266,-17.4454,1996,0,99,1574,8
14.671,-17.426,1994,0.1,88,52,3
14.6945,-17.4455,1942,5,15,184,131
14.6945,-17.4455,1968,0,15,711,266
14.6945,-17.4455,1994,0.1,88,95,2
14.6945,-17.4455,2008,2,10,48,3
14.7279,-17.443,1945,0.5,6,349,164
14.7175,-17.4542,1922,0,3,636,73
14.7175,-17.4542,1923,0,3,636,99
14.671,-17.436,1922,0,15,703,386
14.671,-17.436,1924,0,15,366,155
14.671,-17.436,1934,0,5,400,74
14.673,-17.437,1967,2,9,50,13
14.673,-17.437,1988,0,12,32,2
14.7441,-17.4444,2012,0.9,4.9,23,0
14.7457,-17.472,2008,2,10,52,2
14.675,-17.4509,2008,2,10,51,2
14.7254,-17.4551,1996,0,99,1952,1
14.7563,-17.4411,2010,0.6,5.7,15,0
14.7476,-17.4438,2010,0.6,5.8,19,2
14.6927,-17.4531,2010,0.8,5.3,17,0
14.734,-17.4509,2010,0.9,5.3,20,0
14.706,-17.4622,2010,0.8,4.8,16,0
14.685,-17.4494,1994,0.1,88,96,1
14.7213,-17.4536,2008,2,10,29,1
14.758,-17.468,2008,2,10,53,3
14.6867,-17.4519,1921,5,15,90,16
14.6934,-17.4661,1994,0.1,88,30,1
14.6927,-17.4708,1942,5,15,184,132
14.6948,-17.4503,1994,0.1,88,112,3
14.6948,-17.4503,1996,0,99,1891,1
14.681,-17.4655,1994,0.1,88,117,2
14.7038,-17.4529,1967,0,15,218,12
14.7038,-17.4529,2008,2,10,41,1
14.7335,-17.4494,2014,1.2,4.4,13,0
14.683,-17.4575,1994,0.1,88,62,0
14.714,-17.434,1949,0,7,110,8
14.718,-17.434,2008,2,10,52,0
14.7258,-17.4294,1996,0,99,1927,23
14.734,-17.419,1996,0,99,2290,6
14.7337,-17.4292,1996,0,99,2286,8
14.7462,-17.4717,2008,2,10,47,0
14.7109,-17.461,1996,0,99,1437,2
14.7269,-17.4632,1996,0,99,1380,5
14.6938,-17.4434,2008,2,10,48,0
14.681,-17.439,1964,0,99,349,113
14.7459,-17.472,2008,2,10,52,1
14.6747,-17.4395,1994,0.1,88,42,0
14.691,-17.453,1929,0,14,50,9
14.691,-17.453,1966,0,10,737,55
14.691,-17.453,2013,1.9,4.3,16,0
14.691,-17.453,2014,1.3,4.9,12,0
14.6881,-17.4477,1942,5,15,184,106
14.6828,-17.4527,1942,5,15,184,71
14.685,-17.4494,1921,0,15,152,53
14.685,-17.4494,1922,5,15,106,52
14.749,-17.514,1949,0,7,88,7
14.7111,-17.4527,1996,0,99,1627,1
14.6764,-17.4514,1994,0.1,88,55,0
14.735,-17.484,1922,0,15,13,9
14.735,-17.484,1949,0,7,111,7
14.7569,-17.4347,2014,0.8,4.9,17,0
14.7451,-17.4342,2012,0.8,4.5,17,0
14.6962,-17.4603,1996,0,99,1342,8
14.674,-17.444,1942,5,15,184,101
14.7167,-17.4609,2008,0.7,5,51,0
14.7619,-17.4323,2008,0.5,5,22,0
14.7474,-17.4462,2008,0.7,5,15,0
14.7121,-17.4586,2014,0.7,4.8,14,0
14.6698,-17.4354,1921,5,15,100,24
14.751,-17.467,1949,0,7,76,4
14.751,-17.467,1967,0,15,375,35
14.751,-17.467,2012,0.6,4.9,15,0
14.751,-17.467,2014,0.6,4.5,16,0
14.6995,-17.4352,1996,0,99,1378,94
14.7709,-17.4046,2008,2,10,44,2
14.7867,-17.3744,2010,1,5.8,16,2
14.7825,-17.3905,2010,0.6,5.3,24,0
14.7687,-17.3818,2010,0.7,5.5,28,0
14.7828,-17.376,2008,2,10,44,1
14.7666,-17.4128,2008,2,10,44,1
14.7666,-17.4128,2014,1.6,4.9,10,0
14.77,-17.4148,2008,2,10,22,1
14.7803,-17.3917,2008,2,10,51,3
14.7659,-17.4148,2008,2,10,54,1
14.7645,-17.3509,2008,2,10,37,2
14.7648,-17.3872,2008,2,10,52,1
14.7462,-17.3,2008,2,10,54,1
14.7539,-17.3945,2008,2,10,53,2
14.7512,-17.3954,1968,0,15,1536,881
14.7527,-17.3964,1968,0,15,2022,566
14.7526,-17.3544,1922,0,15,77,32
14.7555,-17.3495,1922,10,15,247,106
14.7637,-17.3481,1922,0,15,15,5
14.7625,-17.3619,1942,5,15,184,76
14.7716,-17.3237,2008,2,10,49,0
14.7463,-17.3228,2008,2,10,47,0
14.7681,-17.3919,2010,0.9,5.7,16,0
14.7482,-17.39,2010,0.8,5.8,17,0
14.7727,-17.3756,2010,0.7,5.3,18,0
14.757,-17.3855,2010,0.8,5.2,19,0
14.7538,-17.3688,2010,0.5,5.8,18,0
14.75,-17.3642,2014,0.7,4.8,36,0
14.7469,-17.3864,2014,0.6,4.8,16,0
14.7622,-17.4154,2008,2,10,52,2
14.736,-17.4126,2008,2,10,49,2
14.766,-17.316,1949,0,7,84,9
14.766,-17.316,1967,2,9,136,57
14.766,-17.316,1995,0,99,433,33
14.766,-17.316,2014,0.9,4.6,25,0
