"web_x","web_y"
-10091021.0156981,5236737.33211277
-10090441.9337883,5237544.94165827
-10090212.7116698,5238222.9729047
-10090259.4852216,5238979.95487197
-10090583.9823964,5240117.24878318
-10090800.6030434,5240938.90610151
-10091080.0506584,5241613.67710711
-10091580.2912822,5242302.88315294
-10092156.0888614,5242745.45479337
-10092963.7488873,5243523.48082719
-10093473.3293416,5244201.87470876
-10093820.7232034,5244992.16912511
-10094120.5804228,5245980.28648277
-10094390.700012,5246796.68349709
-10095048.9535405,5248166.1344856
-10095588.3150474,5249496.57549268
-10095952.6862216,5250210.0203944
-10096140.4224235,5250902.76880953
-10096258.5241378,5251593.8444579
-10096419.9453585,5252410.16007335
-10096707.0433825,5253161.91351524
-10097023.0105497,5253884.87362097
-10097560.6435509,5254871.01733519
-10097745.7943702,5255148.00623133
-10098197.6290862,5255826.0883203
-10099026.5080298,5256488.60031984
-10099943.6754299,5256834.83583172
-10100878.6795762,5257229.56920135
-10101636.1863253,5257458.08715117
-10102662.0409572,5257694.09194657
-10103775.3573757,5257863.70672666
-10104532.8640165,5258091.66199714
-10105933.2286507,5258476.01481455
-10107819.3308612,5258815.30669634
-10109426.0572248,5259261.4469536
-10110946.1523895,5259580.59297813
-10113171.9452852,5260028.44629669
-10116112.8066373,5260961.88710113
-10117214.2462213,5261266.11479408
-10118675.7412361,5261531.04811017
-10119346.636391,5261827.82586666
-10119626.0340706,5261951.96696971
-10120516.8768619,5262320.92977111
-10120998.3929065,5262539.19970183
-10121681.177979,5262863.15421209
-10122310.4646367,5263197.5208322
-10122869.2554633,5263396.16523027
-10123493.4165712,5263386.8674531
-10124047.9361113,5263309.41742981
-10124394.4097274,5263304.76470186
-10125159.5490205,5263430.61485399
-10125828.7358085,5263632.14325995
-10126488.5995008,5264030.07471834
-10127329.3487826,5264497.90718936
-10127960.3401907,5264902.23390068
-10128694.9515186,5265497.21934542
-10129159.5200284,5266122.89087934
-10129844.0261872,5266698.31388689
-10130707.7262414,5267407.23916398
-10131758.2396909,5268009.86836093
-10132950.5755128,5268679.56435847
-10133442.2922368,5269017.03962287
-10133804.0745992,5269281.13700384
-10133868.6192759,5269347.59819198
-10134075.8431324,5269564.32288555
-10134272.8950742,5269982.20012086
-10134264.4345911,5270326.12732325
-10134323.0670579,5270741.74010374
-10134516.7071641,5270996.07237282
-10134867.4445326,5271197.79197593
-10135285.255728,5271259.60945045
-10135562.9431135,5271254.96057988
-10135906.8700652,5271264.1780158
-10136120.023739,5271314.45318825
-10136397.7173856,5271379.17567757
-10136680.51916,5271582.64340938
-10136965.8923204,5272059.57444967
-10137038.9484582,5272334.18979461
-10137042.3641178,5272540.01650061
-10137187.6021642,5272812.90536866
-10137403.3083657,5272927.94550342
-10137461.9060498,5272958.58481668
-10137748.1037349,5273149.36630351
-10137962.1318279,5273490.49703406
-10138023.2981039,5273751.27774483
-10138043.6870598,5273836.27859434
-10137988.5095732,5274073.9484454
-10137840.790317,5274525.59984543
-10137827.2430515,5274966.85011308
-10137924.086418,5275352.01217056
-10138155.1034047,5275732.55048053
-10138352.1555284,5276152.43819445
-10138582.3391348,5276720.99753192
-10138671.5543547,5277262.41640744
-10138858.4525969,5278094.84575441
-10139103.1414172,5279411.61591806
-10139416.6153729,5280729.72196237
-10139568.7629063,5282289.3734975
-10139612.2249954,5283977.80372873
-10139618.2781628,5285185.99834148
-10139560.5951979,5285877.8781397
-10139550.4517525,5286392.61885018
-10139784.0163553,5286770.71004526
-10140087.2155617,5287165.0239646
-10140360.6742661,5287356.09550868
-10140498.2540492,5287452.21180085
-10140837.1090619,5287735.94008364
-10141032.4762513,5288293.04251309
-10141212.5661607,5288955.01129551
-10141435.9801628,5289780.94379133
-10141735.0094614,5291018.24721787
-10142006.8392482,5291964.86590067
-10142048.4638099,5292117.81726279
-10142577.6155937,5293236.04043337
-10143529.6516936,5294157.90246343
-10144488.4546001,5294803.40844855
-10145518.5853136,5295382.29870097
-10146198.8505713,5296020.37804526
-10146637.0960563,5296668.9576938
